;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;KPÖ;EUROPA;
G31546;Weiten;908;497;11;486;275;66;87;22;26;5;5;
G31549;Ybbs an der Donau;4164;2191;48;2143;697;713;434;176;110;2;11;
G31550;Zelking-Matzleinsdorf;1001;673;16;657;336;113;90;55;52;1;10;
G31551;Texingtal;1311;817;22;795;502;90;76;60;57;6;4;
G31552;Yspertal;1637;944;37;907;375;207;213;58;48;2;4;
G31553;Emmersdorf an der Donau;1412;821;26;795;336;163;137;94;58;2;5;
G31599;Wahlkarten - Melk;0;5590;98;5492;2064;1432;767;727;418;32;52;
G31600;Mistelbach;61069;42090;848;41242;19249;7696;7403;3792;2543;222;337;
G31601;Altlichtenwarth;630;365;3;362;188;57;90;8;15;2;2;
G31603;Asparn an der Zaya;1492;958;13;945;428;196;212;59;36;7;7;
G31604;Bernhardsthal;1314;753;26;727;339;194;130;32;28;2;2;
G31605;Bockfließ;1040;683;13;670;293;171;115;42;42;3;4;
G31606;Drasenhofen;889;539;8;531;327;46;131;9;13;2;3;
G31608;Falkenstein;402;284;0;284;190;16;19;35;21;2;1;
G31609;Fallbach;704;466;7;459;321;42;50;19;24;2;1;
G31611;Gaubitsch;738;524;9;515;334;39;94;16;28;2;2;
G31612;Gaweinstal;3092;1812;41;1771;825;312;382;140;97;6;9;
G31613;Gnadendorf;968;616;17;599;381;61;87;38;27;1;4;
G31614;Großebersdorf;1791;1127;20;1107;537;155;221;96;78;7;13;
G31615;Großengersdorf;1126;771;24;747;316;211;131;55;31;3;0;
G31616;Großharras;945;609;20;589;327;81;117;22;39;1;2;
G31617;Großkrut;1342;898;26;872;420;181;179;51;32;4;5;
G31620;Hausbrunn;688;403;13;390;149;127;80;16;15;0;3;
G31621;Herrnbaumgarten;774;456;2;454;268;43;87;16;36;1;3;
G31622;Hochleithen;955;588;8;580;272;127;103;33;38;1;6;
G31627;Kreuttal;1203;760;16;744;333;154;99;101;49;4;4;
G31628;Kreuzstetten;1256;792;16;776;275;186;150;107;49;3;6;
G31629;Laa an der Thaya;5092;3078;69;3009;1240;643;684;214;188;18;22;
G31630;Ladendorf;1872;1162;25;1137;515;234;208;97;60;11;12;
G31633;Mistelbach;9311;5280;99;5181;2166;1035;905;569;410;40;56;
G31634;Neudorf bei Staatz;1163;686;21;665;283;110;185;36;30;13;8;
G31636;Niederleis;738;461;15;446;189;103;82;37;32;2;1;
G31642;Pillichsdorf;931;645;9;636;260;136;90;113;34;2;1;
G31644;Poysdorf;4371;2606;47;2559;1450;375;468;137;106;6;17;
G31645;Rabensburg;886;484;12;472;114;206;121;18;6;2;5;
G31646;Schrattenberg;672;413;12;401;268;43;57;9;19;3;2;
G31649;Staatz;1637;998;32;966;516;175;187;40;41;5;2;
G31650;Stronsdorf;1368;914;25;889;525;77;203;40;36;2;6;
G31651;Ulrichskirchen-Schleinbach;2107;1377;21;1356;530;283;231;189;95;11;17;
G31652;Unterstinkenbrunn;473;301;5;296;192;29;53;12;9;0;1;
G31653;Wildendürnbach;1269;814;29;785;511;69;131;38;30;3;3;
G31654;Wilfersdorf;1740;1096;32;1064;495;227;225;60;40;2;15;
G31655;Wolkersdorf im Weinviertel;5616;3406;50;3356;1391;552;382;651;320;17;43;
G31658;Ottenthal;474;289;6;283;200;23;31;5;17;6;1;
G31699;Wahlkarten - Mistelbach;0;4676;57;4619;1881;977;683;632;372;26;48;
G31700;Mödling;90370;63856;711;63145;21867;13182;8336;10289;8388;358;725;
G31701;Achau;1073;587;12;575;164;159;114;78;52;1;7;
G31702;Biedermannsdorf;2492;1522;26;1496;559;289;245;208;183;4;8;
G31703;Breitenfurt bei Wien;4703;2948;23;2925;1036;631;365;478;361;13;41;
G31704;Brunn am Gebirge;8703;5248;76;5172;1680;1149;699;805;736;38;65;
G31706;Gaaden;1330;912;11;901;369;131;84;132;169;8;8;
G31707;Gießhübl;1766;1126;3;1123;439;184;113;179;192;1;15;
G31709;Gumpoldskirchen;2923;1831;18;1813;635;325;253;312;260;10;18;
G31710;Guntramsdorf;6849;4078;68;4010;1245;1126;720;459;399;17;44;
G31711;Hennersdorf;1249;825;12;813;272;224;130;100;69;5;13;
G31712;Hinterbrühl;2982;1853;16;1837;766;289;199;275;284;8;16;
G31713;Kaltenleutgeben;2563;1586;20;1566;485;401;222;234;196;7;21;
G31714;Laab im Walde;909;589;5;584;239;95;60;108;71;8;3;
G31715;Laxenburg;2179;1308;21;1287;562;251;136;157;163;2;16;
G31716;Maria Enzersdorf;6606;3911;23;3888;1544;527;380;806;579;8;44;
G31717;Mödling;15122;8608;92;8516;2782;1657;978;1751;1188;60;100;
G31718;Münchendorf;2271;1291;23;1268;452;320;249;113;122;4;8;
G31719;Perchtoldsdorf;11795;7367;69;7298;2813;1077;830;1395;1052;50;81;
G31723;Vösendorf;5371;2889;33;2856;780;777;632;317;299;19;32;
G31725;Wiener Neudorf;7210;4232;62;4170;1181;1194;689;539;487;24;56;
G31726;Wienerwald;2274;1534;22;1512;597;258;263;199;169;9;17;
G31799;Wahlkarten - Mödling;0;9611;76;9535;3267;2118;975;1644;1357;62;112;
G31800;Neunkirchen;67992;44412;987;43425;16602;11344;8707;3469;2643;290;370;
G31801;Altendorf;280;167;6;161;107;10;27;9;7;0;1;
G31802;Aspang-Markt;1527;878;21;857;418;175;141;70;46;5;2;
G31803;Aspangberg-St. Peter;1553;921;22;899;537;109;171;31;41;1;9;
G31804;Breitenau;1275;789;22;767;247;242;170;46;59;2;1;
G31805;Breitenstein;265;128;0;128;49;30;24;16;9;0;0;
G31806;Buchbach;288;191;3;188;81;60;19;18;6;2;2;
G31807;Edlitz;749;454;11;443;231;70;80;34;22;4;2;
G31808;Enzenreith;1601;920;18;902;326;232;193;76;54;13;8;
G31809;Feistritz am Wechsel;875;531;14;517;277;77;109;24;23;4;3;
G31810;Gloggnitz;4604;2499;55;2444;803;704;536;196;167;18;20;
G31811;Grafenbach-St. Valentin;1762;1133;38;1095;370;346;229;59;78;4;9;
G31812;Grimmenstein;1098;683;16;667;318;159;109;38;39;0;4;
G31813;Grünbach am Schneeberg;1222;679;11;668;219;246;115;50;27;8;3;
G31814;Kirchberg am Wechsel;2025;1212;25;1187;616;115;264;106;70;5;11;
G31815;Mönichkirchen;514;261;6;255;140;33;55;12;12;0;3;
G31817;Natschbach-Loipersbach;1399;868;16;852;410;130;168;75;56;5;8;
G31818;Neunkirchen;8964;4438;76;4362;1382;1325;917;397;267;26;48;
G31820;Otterthal;489;286;3;283;116;60;70;19;13;2;3;
G31821;Payerbach;1655;892;15;877;315;232;181;69;60;8;12;
G31823;Pitten;2246;1186;28;1158;433;291;255;81;76;14;8;
G31825;Prigglitz;363;214;1;213;100;32;47;18;14;1;1;
G31826;Puchberg am Schneeberg;2246;1276;24;1252;466;357;254;92;61;8;14;
G31827;Raach am Hochgebirge;242;179;4;175;101;22;34;14;1;2;1;
G31829;Reichenau an der Rax;2077;1231;30;1201;454;307;252;101;70;6;11;
G31830;St. Corona am Wechsel;310;196;3;193;114;10;50;10;7;1;1;
G31831;St. Egyden am Steinfeld;1569;943;27;916;371;198;190;66;79;4;8;
G31832;Scheiblingkirchen-Thernberg;1582;981;19;962;509;146;161;68;67;7;4;
G31833;Schottwien;522;292;10;282;128;49;72;15;11;5;2;
G31834;Schrattenbach;302;188;9;179;86;31;38;11;10;0;3;
G31835;Schwarzau am Steinfeld;1550;927;20;907;281;260;231;61;61;7;6;
G31836;Schwarzau im Gebirge;496;289;16;273;96;76;74;8;11;4;4;
G31837;Seebenstein;1173;690;18;672;235;176;150;58;52;1;0;
G31838;Semmering;416;214;2;212;101;42;43;10;12;2;2;
G31839;Ternitz;11324;6421;146;6275;1599;2348;1336;487;397;48;60;
G31840;Thomasberg;1038;646;24;622;317;98;152;28;20;1;6;
G31841;Trattenbach;438;302;9;293;162;28;86;6;10;1;0;
G31842;Bürg-Vöstenhof;135;78;2;76;42;12;12;6;2;0;2;
G31843;Warth;1249;831;19;812;471;119;125;55;36;4;2;
G31844;Wartmannstetten;1350;985;25;960;515;152;153;61;64;5;10;
G31845;Willendorf;789;443;17;426;164;82;88;48;33;6;5;
G31846;Wimpassing im Schwarzatale;1196;589;11;578;106;263;139;32;31;3;4;
G31847;Würflach;1310;828;16;812;341;193;135;71;53;8;11;
G31848;Zöbern;1182;776;30;746;451;110;127;22;28;3;5;
G31849;Höflein an der Hohen Wand;742;475;11;464;151;147;80;40;39;2;5;
G31899;Wahlkarten - Neunkirchen;0;5302;88;5214;1846;1440;845;655;342;40;46;
G31900;Sankt Pölten Land;101960;70535;1304;69231;26505;14939;11601;9031;5984;420;751;
G31901;Altlengbach;2342;1290;27;1263;484;250;264;141;102;8;14;
G31902;Asperhofen;1727;1013;14;999;457;108;253;91;73;7;10;
G31903;Böheimkirchen;3979;2641;64;2577;1007;551;495;296;194;10;24;
G31904;Brand-Laaben;990;608;14;594;251;94;127;75;41;2;4;
G31905;Eichgraben;3500;2135;20;2115;713;421;293;425;215;16;32;
G31906;Frankenfels;1594;1117;39;1078;581;228;160;44;58;1;6;
G31907;Gerersdorf;776;541;14;527;280;108;72;35;22;1;9;
G31909;Hofstetten-Grünau;2137;1378;32;1346;702;197;244;97;95;5;6;
G31910;Hafnerbach;1365;920;25;895;421;156;159;89;59;3;8;
G31911;Haunoldstein;919;565;11;554;249;116;111;38;30;5;5;
G31912;Herzogenburg;6014;3655;94;3561;1045;1105;718;402;236;18;37;
G31913;Inzersdorf-Getzersdorf;1251;787;22;765;323;162;161;55;48;8;8;
G31915;Kapelln;1103;699;17;682;369;95;125;57;28;3;5;
G31916;Karlstetten;1775;1147;22;1125;511;223;205;85;83;13;5;
G31917;Kasten bei Böheimkirchen;1123;759;18;741;301;121;132;110;66;1;10;
G31918;Kirchberg an der Pielach;2626;1556;39;1517;753;273;258;122;83;15;13;
G31919;Kirchstetten;1761;950;22;928;361;195;166;116;69;10;11;
G31920;Loich;503;331;4;327;148;80;65;18;14;1;1;
G31921;Maria-Anzbach;2379;1485;18;1467;535;261;220;278;137;19;17;
G31922;Markersdorf-Haindorf;1624;1028;22;1006;440;189;202;88;72;3;12;
G31923;Michelbach;725;475;8;467;275;25;77;27;54;6;3;
G31925;Neidling;1196;807;17;790;322;167;135;75;77;3;11;
G31926;Neulengbach;6444;3612;51;3561;1366;658;637;523;324;23;30;
G31927;Neustift-Innermanzing;1260;659;16;643;271;138;110;56;53;5;10;
G31928;Nußdorf ob der Traisen;1476;919;21;898;394;180;162;84;67;3;8;
G31929;Ober-Grafendorf;3606;2214;48;2166;742;645;348;212;184;8;27;
G31930;Obritzberg-Rust;1878;1142;31;1111;589;158;187;96;67;9;5;
G31932;Prinzersdorf;1236;761;10;751;281;168;118;93;75;7;9;
G31934;Pyhra;2813;1821;38;1783;859;274;328;163;146;5;8;
G31935;Rabenstein an der Pielach;2063;1322;39;1283;627;243;227;88;82;6;10;
G31938;St. Margarethen an der Sierning;852;566;16;550;306;74;89;41;33;3;4;
G31939;Schwarzenbach an der Pielach;320;222;11;211;119;38;44;3;5;1;1;
G31940;Statzendorf;1105;669;13;656;245;186;117;49;53;2;4;
G31941;Stössing;651;379;4;375;194;48;67;36;28;1;1;
G31943;Traismauer;4715;2851;85;2766;880;816;576;268;181;17;28;
G31945;Weinburg;1130;696;14;682;224;240;120;48;38;4;8;
G31946;Perschling;1125;735;14;721;399;52;166;45;53;2;4;
G31947;Wilhelmsburg;5071;2964;54;2910;871;935;548;307;189;26;34;
G31948;Wölbling;2006;1281;28;1253;455;307;241;135;95;10;10;
G31949;Gablitz;3801;2129;23;2106;761;409;317;349;228;9;33;
G31950;Mauerbach;2871;1805;22;1783;700;304;210;325;208;10;26;
G31951;Pressbaum;5678;3189;38;3151;995;650;464;561;427;15;39;
G31952;Purkersdorf;7034;3979;59;3920;1000;917;554;844;522;24;59;
G31953;Tullnerbach;2116;1276;14;1262;454;232;163;266;129;5;13;
G31954;Wolfsgraben;1300;851;7;844;316;129;144;135;99;5;16;
G31999;Wahlkarten - Sankt Pölten Land;0;8606;85;8521;2929;2013;1022;1540;842;62;113;
G32000;Scheibbs;32982;22753;506;22247;10957;4187;3529;2006;1286;115;167;
G32001;Gaming;2512;1463;48;1415;534;478;238;81;62;11;11;
G32002;Göstling an der Ybbs;1691;1038;18;1020;574;215;134;41;51;2;3;
G32003;Gresten;1571;840;17;823;351;197;116;92;52;5;10;
G32004;Gresten-Land;1200;755;16;739;497;69;110;33;23;1;6;
G32005;Lunz am See;1487;822;10;812;335;226;130;60;48;3;10;
G32006;Oberndorf an der Melk;2409;1636;39;1597;972;145;296;103;73;4;4;
G32007;Puchenstuben;231;158;5;153;63;47;26;10;5;1;1;
G32008;Purgstall an der Erlauf;4277;2509;43;2466;1266;343;440;244;146;11;16;
G32009;Randegg;1516;1022;31;991;644;80;147;69;46;3;2;
G32010;Reinsberg;825;550;11;539;353;61;58;27;33;3;4;
G32011;St. Anton an der Jeßnitz;970;562;12;550;344;64;99;24;12;4;3;
G32012;St. Georgen an der Leys;1104;730;32;698;436;51;149;33;24;4;1;
G32013;Scheibbs;3409;2049;43;2006;905;440;195;302;131;15;18;
G32014;Steinakirchen am Forst;1827;1220;29;1191;664;128;188;117;80;5;9;
G32015;Wang;1100;666;21;645;360;60;132;58;31;2;2;
G32016;Wieselburg;2941;1708;44;1664;516;570;289;156;116;1;16;
G32017;Wieselburg-Land;2677;1679;35;1644;722;296;354;130;114;14;14;
G32018;Wolfpassing;1235;875;17;858;455;78;183;82;47;3;10;
G32099;Wahlkarten - Scheibbs;0;2471;35;2436;966;639;245;344;192;23;27;
G32100;Tulln;79181;54446;865;53581;21083;9993;8616;7493;5501;341;554;
G32101;Absdorf;1603;940;20;920;354;240;162;72;80;6;6;
G32104;Atzenbrugg;2358;1447;48;1399;692;218;263;107;96;9;14;
G32106;Fels am Wagram;1878;1069;21;1048;446;193;206;104;72;12;15;
G32107;Grafenwörth;2599;1541;41;1500;631;321;325;100;100;7;16;
G32109;Großriedenthal;765;516;12;504;284;88;68;29;25;3;7;
G32110;Großweikersdorf;2636;1595;20;1575;694;298;326;137;104;6;10;
G32112;Judenau-Baumgarten;1690;1058;23;1035;451;177;210;111;70;6;10;
G32114;Kirchberg am Wagram;2936;1859;38;1821;828;332;329;182;127;10;13;
G32115;Königsbrunn am Wagram;1043;660;17;643;305;137;111;43;39;5;3;
G32116;Königstetten;1883;1224;23;1201;485;239;189;155;112;11;10;
G32119;Langenrohr;1767;1055;17;1038;511;132;238;62;80;8;7;
G32120;Michelhausen;2460;1483;35;1448;739;198;266;109;114;6;16;
G32131;Sieghartskirchen;5784;3606;87;3519;1400;697;756;321;300;22;23;
G32132;Sitzenberg-Reidling;1766;1042;18;1024;462;186;199;92;74;5;6;
G32134;Tulbing;2411;1450;16;1434;613;258;246;166;131;7;13;
G32135;Tulln an der Donau;11903;6895;102;6793;2623;1235;1128;960;723;44;80;
G32139;Würmla;1136;711;25;686;351;79;141;60;44;6;5;
G32140;Zeiselmauer-Wolfpassing;1794;1078;19;1059;345;239;195;150;114;7;9;
G32141;Zwentendorf an der Donau;2970;1737;45;1692;662;487;336;94;97;11;5;
G32142;St. Andrä-Wördern;6082;3717;47;3670;1150;798;586;733;351;16;36;
G32143;Muckendorf-Wipfing;1311;820;17;803;285;162;192;96;58;4;6;
G32144;Klosterneuburg;20406;12713;120;12593;4581;2040;1393;2451;1875;91;162;
G32199;Wahlkarten - Tulln;0;6230;54;6176;2191;1239;751;1159;715;39;82;
G32200;Waidhofen an der Thaya;21956;14951;373;14578;7463;2218;2908;1052;738;73;126;
G32202;Dietmanns;922;509;16;493;106;191;156;17;17;3;3;
G32203;Dobersberg;1334;840;21;819;532;57;155;40;27;5;3;
G32206;Gastern;1039;624;22;602;325;77;150;25;13;9;3;
G32207;Groß-Siegharts;2311;1196;40;1156;418;282;303;68;66;6;13;
G32209;Karlstein an der Thaya;1222;798;16;782;440;95;178;29;31;6;3;
G32210;Kautzen;942;553;15;538;297;68;110;26;24;9;4;
G32212;Ludweis-Aigen;766;479;11;468;282;65;72;27;18;1;3;
G32214;Pfaffenschlag bei Waidhofen a.d.Thaya;776;507;18;489;273;36;115;31;28;2;4;
G32216;Raabs an der Thaya;2301;1425;51;1374;847;169;221;71;49;5;12;
G32217;Thaya;1169;688;11;677;386;58;157;39;34;1;2;
G32219;Vitis;2224;1336;44;1292;691;223;221;80;67;3;7;
G32220;Waidhofen an der Thaya;4614;2538;50;2488;1189;328;493;277;169;7;25;
G32221;Waidhofen an der Thaya-Land;1052;651;14;637;335;74;156;36;29;0;7;
G32222;Waldkirchen an der Thaya;465;311;4;307;206;33;39;12;11;1;5;
G32223;Windigsteig;819;465;9;456;255;74;68;38;15;4;2;
G32299;Wahlkarten - Waidhofen an der Thaya;0;2031;31;2000;881;388;314;236;140;11;30;
G32300;Wiener Neustadt Land;60569;39635;814;38821;15122;9109;8356;3065;2634;200;335;
G32301;Bad Fischau-Brunn;2665;1692;29;1663;637;356;289;171;194;9;7;
G32302;Bad Schönau;606;368;8;360;189;29;83;33;24;1;1;
G32304;Ebenfurth;2143;1110;25;1085;257;427;258;66;66;5;6;
G32305;Eggendorf;3709;2101;39;2062;616;603;588;115;109;13;18;
G32306;Bad Erlach;2507;1449;32;1417;601;289;302;107;99;6;13;
G32307;Felixdorf;3218;1777;41;1736;474;603;373;119;129;9;29;
G32308;Gutenstein;1036;571;15;556;241;115;110;53;29;2;6;
G32309;Hochneukirchen-Gschaidt;1395;888;12;876;531;83;174;41;39;4;4;
G32310;Hochwolkersdorf;847;542;6;536;246;153;95;25;15;0;2;
G32311;Hohe Wand;1140;679;10;669;313;104;136;70;39;1;6;
G32312;Hollenthon;824;542;20;522;307;63;101;20;29;0;2;
G32313;Katzelsdorf;2595;1659;29;1630;624;302;296;206;180;7;15;
G32314;Kirchschlag in der Buckligen Welt;2333;1431;26;1405;866;128;251;73;77;1;9;
G32315;Krumbach;1886;1219;28;1191;671;147;225;74;67;2;5;
G32316;Lanzenkirchen;3103;1836;43;1793;612;449;427;147;127;12;19;
G32317;Lichtenegg;877;568;19;549;383;22;75;38;27;0;4;
G32318;Lichtenwörth;2166;1169;8;1161;370;306;279;107;85;7;7;
G32319;Markt Piesting;2209;1377;24;1353;530;242;283;144;131;10;13;
G32320;Matzendorf-Hölles;1666;999;15;984;422;191;244;54;59;5;9;
G32321;Miesenbach;561;310;4;306;150;60;58;21;14;1;2;
G32322;Muggendorf;434;321;10;311;160;49;59;21;20;2;0;
G32323;Pernitz;1920;1107;28;1079;337;305;228;117;68;3;21;
G32324;Rohr im Gebirge;365;225;3;222;126;35;38;14;7;0;2;
G32325;Bromberg;958;612;17;595;340;83;99;43;28;0;2;
G32326;Schwarzenbach;777;499;18;481;175;180;94;14;17;0;1;
G32327;Sollenau;3880;2124;56;2068;605;659;548;120;114;10;12;
G32330;Theresienfeld;2424;1330;23;1307;340;400;377;98;80;7;5;
G32331;Waidmannsfeld;1261;756;18;738;217;292;128;39;44;7;11;
G32332;Waldegg;1491;869;10;859;304;245;181;79;36;6;8;
G32333;Walpersbach;914;591;25;566;247;140;97;36;40;4;2;
G32334;Weikersdorf am Steinfelde;865;508;14;494;243;60;116;35;32;5;3;
G32335;Wiesmath;1250;802;19;783;432;132;153;30;26;3;7;
G32336;Winzendorf-Muthmannsdorf;1504;856;19;837;313;172;163;90;77;7;15;
G32337;Wöllersdorf-Steinabrückl;3401;1768;21;1747;551;386;531;136;114;13;16;
G32338;Zillingdorf;1639;1080;24;1056;321;312;266;63;74;11;9;
G32399;Wahlkarten - Wiener Neustadt Land;0;3900;76;3824;1371;987;631;446;318;27;44;
G32500;Zwettl;35489;24860;676;24184;13733;2984;4405;1587;1258;80;137;
G32501;Allentsteig;1580;905;29;876;458;117;212;51;32;4;2;
G32502;Arbesbach;1370;906;36;870;580;44;149;57;34;2;4;
G32503;Bärnkopf;305;192;9;183;46;92;32;8;4;1;0;
G32504;Echsenbach;1026;653;13;640;416;69;95;33;19;2;6;
G32505;Göpfritz an der Wild;1542;949;22;927;482;141;223;47;29;2;3;
G32506;Grafenschlag;706;474;7;467;293;49;80;25;14;2;4;
G32508;Groß Gerungs;3745;2368;97;2271;1315;246;462;116;110;6;16;
G32509;Großgöttfritz;1154;794;20;774;415;84;206;28;33;4;4;
G32511;Gutenbrunn;439;239;10;229;108;76;27;7;6;2;3;
G32514;Kirchschlag;539;358;7;351;210;34;90;8;7;1;1;
G32515;Kottes-Purk;1232;734;16;718;444;89;118;40;25;1;1;
G32516;Langschlag;1439;888;35;853;494;112;177;34;33;1;2;
G32517;Martinsberg;898;553;7;546;319;77;113;13;20;1;3;
G32518;Ottenschlag;846;533;9;524;300;51;118;27;24;2;2;
G32519;Altmelon;717;466;17;449;262;47;118;6;13;1;2;
G32520;Pölla;773;502;15;487;266;57;123;19;19;0;3;
G32521;Rappottenstein;1431;875;27;848;505;77;144;58;56;4;4;
G32522;Sallingberg;1059;655;11;644;403;51;135;25;24;4;2;
G32523;Schönbach;673;426;7;419;264;34;85;19;15;1;1;
G32524;Schwarzenau;1263;857;37;820;389;193;133;53;43;5;4;
G32525;Schweiggers;1651;1045;26;1019;712;53;179;19;50;3;3;
G32528;Bad Traunstein;831;527;11;516;317;50;81;37;26;2;3;
G32529;Waldhausen;1014;637;16;621;355;70;114;36;40;5;1;
G32530;Zwettl-Niederösterreich;9256;5435;146;5289;3053;600;823;417;347;12;37;
G32599;Wahlkarten - Zwettl;0;2889;46;2843;1327;471;368;404;235;12;26;
G40000;Oberösterreich;1108448;688278;12070;676208;237585;168747;122263;90427;47097;4364;5725;
G40099;Wahlkarten - Oberösterreich;0;0;0;0;0;0;0;0;0;0;0;
G4A000;Linz und Umgebung;246851;150520;2039;148481;38636;46236;23953;24201;12449;1449;1557;
G4A099;Wahlkarten Linz und Umgebung;0;0;0;0;0;0;0;0;0;0;0;
G4B000;Innviertel;168154;97018;1612;95406;39868;16909;21601;10384;5415;514;715;
G4B099;Wahlkarten - Innviertel;0;0;0;0;0;0;0;0;0;0;0;
G4C000;Hausruckviertel;273872;169309;3128;166181;59505;38540;33414;21150;11354;848;1370;
G4C099;Wahlkarten - Hausruckviertel;0;0;0;0;0;0;0;0;0;0;0;
G4D000;Traunviertel;198335;124005;2236;121769;40283;34937;21058;15438;8344;726;983;
G4D099;Wahlkarten - Traunviertel;0;0;0;0;0;0;0;0;0;0;0;
G4E000;Mühlviertel;221236;147426;3055;144371;59293;32125;22237;19254;9535;827;1100;
G4E099;Wahlkarten - Mühlviertel;0;0;0;0;0;0;0;0;0;0;0;
G40100;Linz Stadt;138624;82354;1002;81352;18775;26170;12063;15348;6997;1053;946;
G40101;Linz;138624;68116;913;67203;15568;21676;10643;12015;5655;858;788;
G40199;Wahlkarten - Linz Stadt;0;14238;89;14149;3207;4494;1420;3333;1342;195;158;
G40200;Steyr Stadt;27017;16072;233;15839;3355;6071;2863;2245;1039;120;146;
G40201;Steyr;27017;14125;212;13913;2908;5393;2648;1841;888;111;124;
G40299;Wahlkarten - Steyr Stadt;0;1947;21;1926;447;678;215;404;151;9;22;
G40300;Wels Stadt;39118;22139;342;21797;5475;6649;4699;2938;1687;148;201;
G40301;Wels;39118;19110;323;18787;4679;5774;4207;2390;1429;132;176;
G40399;Wahlkarten - Wels Stadt;0;3029;19;3010;796;875;492;548;258;16;25;
G40400;Braunau am Inn;76499;42442;717;41725;16726;8049;9156;4741;2436;253;364;
G40401;Altheim;3790;1910;41;1869;616;426;537;168;107;8;7;
G40402;Aspach;2011;885;17;868;439;93;218;73;35;5;5;
G40403;Auerbach;450;264;1;263;122;25;81;22;11;0;2;
G40404;Braunau am Inn;11631;5191;61;5130;1427;1383;1105;794;334;37;50;
G40405;Burgkirchen;2087;1058;19;1039;495;146;230;112;46;3;7;
G40406;Eggelsberg;1853;836;13;823;337;121;189;104;58;4;10;
G40407;Feldkirchen bei Mattighofen;1613;823;23;800;353;106;225;74;35;4;3;
G40408;Franking;802;375;11;364;196;47;65;30;22;3;1;
G40409;Geretsberg;896;448;6;442;204;48;108;45;35;0;2;
G40410;Gilgenberg am Weilhart;1045;480;7;473;256;43;114;34;21;2;3;
G40411;Haigermoos;497;268;6;262;127;30;57;24;20;1;3;
G40412;Handenberg;1032;553;14;539;272;69;113;45;29;6;5;
G40413;Helpfau-Uttendorf;2380;1053;11;1042;489;167;246;79;49;5;7;
G40414;Hochburg-Ach;2244;1101;18;1083;576;140;143;153;62;2;7;
G40415;Höhnhart;1124;511;8;503;242;77;138;34;9;1;2;
G40416;Jeging;511;279;11;268;127;37;74;16;13;0;1;
G40417;Kirchberg bei Mattighofen;939;496;15;481;249;45;112;39;31;1;4;
G40418;Lengau;3621;1707;46;1661;630;421;357;141;84;8;20;
G40419;Lochen am See;2188;1154;20;1134;530;130;279;111;60;12;12;
G40420;Maria Schmolln;1185;569;8;561;301;81;102;51;24;1;1;
G40421;Mattighofen;3757;1544;23;1521;478;398;366;160;90;10;19;
G40422;Mauerkirchen;1682;708;9;699;228;174;199;52;43;1;2;
G40423;Mining;990;506;9;497;230;69;93;76;21;7;1;
G40424;Moosbach;771;423;9;414;177;37;144;27;22;2;5;
G40425;Moosdorf;1299;595;8;587;217;155;127;55;25;3;5;
G40426;Munderfing;2297;1144;19;1125;468;246;205;125;67;6;8;
G40427;Neukirchen an der Enknach;1755;912;19;893;371;148;243;83;35;3;10;
G40428;Ostermiething;2480;1161;27;1134;558;166;201;128;58;7;16;
G40429;Palting;795;410;13;397;193;40;99;35;26;2;2;
G40430;Perwang am Grabensee;786;402;10;392;200;32;83;49;25;2;1;
G40431;Pfaffstätt;777;412;2;410;179;76;86;32;31;5;1;
G40432;Pischelsdorf am Engelbach;1278;662;10;652;315;75;183;28;44;1;6;
G40433;Polling im Innkreis;776;374;10;364;162;64;113;16;8;0;1;
G40434;Roßbach;766;426;11;415;177;70;119;29;20;0;0;
G40435;Sankt Georgen am Fillmannsbach;343;200;2;198;80;11;82;8;13;2;2;
G40436;Sankt Johann am Walde;1643;708;16;692;270;160;141;74;32;5;10;
G40437;Sankt Pantaleon;2317;1079;12;1067;434;228;203;103;75;9;15;
G40438;Sankt Peter am Hart;1817;865;16;849;355;177;147;105;52;7;6;
G40439;Sankt Radegund;476;272;3;269;177;18;17;30;18;2;7;
G40440;Sankt Veit im Innkreis;323;193;4;189;82;39;52;8;7;0;1;
G40441;Schalchen;2885;1430;26;1404;485;357;289;171;84;4;14;
G40442;Schwand im Innkreis;773;438;7;431;207;53;95;41;28;2;5;
G40443;Tarsdorf;1639;771;13;758;399;77;166;70;40;4;2;
G40444;Treubach;574;266;4;262;134;24;80;9;13;1;1;
G40445;Überackern;453;218;1;217;108;33;49;19;8;0;0;
G40446;Weng im Innkreis;1148;564;10;554;232;86;168;35;27;1;5;
G40499;Wahlkarten - Braunau am Inn;0;5798;68;5730;1822;1401;913;1024;439;64;67;
G40500;Eferding;25969;16414;266;16148;5668;3888;3322;2005;1063;76;126;
G40501;Alkoven;4711;2829;40;2789;796;872;552;334;189;16;30;
G40502;Aschach an der Donau;1616;875;12;863;269;251;163;121;55;3;1;
G40503;Eferding;2931;1462;21;1441;494;381;261;180;106;12;7;
G40504;Fraham;1878;911;11;900;266;241;211;107;67;1;7;
G40505;Haibach ob der Donau;1096;574;10;564;238;129;95;63;32;2;5;
G40506;Hartkirchen;3376;1920;27;1893;725;395;442;219;103;4;5;
G40507;Hinzenbach;1619;887;14;873;344;182;189;85;62;4;7;
G40508;Prambachkirchen;2282;1242;30;1212;535;199;262;141;64;4;7;
